ProjectID,GenID,Chromosome,Duration,Fitness,Mutated,ProjectRunningStats,A,
GPID-1,1,A1.0;A5.0;A2.0;A6.0;A3.0;A4.0;A1.0-f;A2.0-f;A3.0-f;A7.0;A4.0-f;A1.0-ff;A8.0;A2.0-ff;A5.0-f;A3.0-ff;A6.0-f;A7.0-f;A8.0-f;A5.0-ff;A6.0-ff;A7.0-ff;A8.0-ff;A9.0;A10.0;,55.1512,0.01813,false,Chromosome ExcutionStats Pname A ST 0.0 ET 55.1512 Duration 55.1512 Criticalpath Dur= 22.99808||,32.15312,
GPID-1,1,A1.0;A5.0;A2.0;A3.0;A4.0;A1.0-f;A6.0;A2.0-f;A3.0-f;A7.0;A4.0-f;A1.0-ff;A8.0;A5.0-f;A2.0-ff;A6.0-f;A7.0-f;A3.0-ff;A8.0-f;A5.0-ff;A9.0;A10.0;,52.47721,0.01906,false,Chromosome ExcutionStats Pname A ST 0.0 ET 52.47721 Duration 52.47721 Criticalpath Dur= 22.99808||,29.47913,
GPID-1,1,A1.0;A5.0;A6.0;A7.0;A2.0;A8.0;A3.0;A4.0;A1.0-f;A5.0-f;A2.0-f;A6.0-f;A7.0-f;A8.0-f;A3.0-f;A5.0-ff;A4.0-f;A6.0-ff;A9.0;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,53.6467,0.01864,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.6467 Duration 53.6467 Criticalpath Dur= 22.99808||,30.64862,
GPID-1,1,A1.0;A5.0;A2.0;A3.0;A4.0;A6.0;A7.0;A1.0-f;A8.0;A5.0-f;A2.0-f;A6.0-f;A3.0-f;A4.0-f;A1.0-ff;A2.0-ff;A7.0-f;A3.0-ff;A8.0-f;A5.0-ff;A6.0-ff;A7.0-ff;A9.0;A10.0;,53.53817,0.01868,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.53817 Duration 53.53817 Criticalpath Dur= 22.99808||,30.54009,
GPID-1,1,A1.0;A5.0;A6.0;A2.0;A7.0;A3.0;A8.0;A4.0;A5.0-f;A6.0-f;A7.0-f;A1.0-f;A8.0-f;A5.0-ff;A2.0-f;A6.0-ff;A3.0-f;A4.0-f;A9.0;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,53.21546,0.01879,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.21546 Duration 53.21546 Criticalpath Dur= 22.99808||,30.21738,
GPID-1,1,A5.0;A1.0;A2.0;A6.0;A7.0;A3.0;A4.0;A8.0;A1.0-f;A2.0-f;A3.0-f;A4.0-f;A1.0-ff;A5.0-f;A2.0-ff;A6.0-f;A3.0-ff;A7.0-f;A8.0-f;A5.0-ff;A6.0-ff;A9.0;A10.0;,55.10311,0.01815,false,Chromosome ExcutionStats Pname A ST 0.0 ET 55.10311 Duration 55.10311 Criticalpath Dur= 22.99808||,32.10503,
GPID-1,1,A1.0;A2.0;A3.0;A4.0;A5.0;A1.0-f;A2.0-f;A3.0-f;A4.0-f;A1.0-ff;A6.0;A7.0;A8.0;A2.0-ff;A5.0-f;A6.0-f;A3.0-ff;A7.0-f;A8.0-f;A5.0-ff;A6.0-ff;A7.0-ff;A9.0;A10.0;,60.65944,0.01649,false,Chromosome ExcutionStats Pname A ST 0.0 ET 60.65944 Duration 60.65944 Criticalpath Dur= 22.99808||,37.66136,
GPID-1,1,A5.0;A1.0;A6.0;A7.0;A8.0;A2.0;A5.0-f;A3.0;A4.0;A1.0-f;A2.0-f;A6.0-f;A3.0-f;A4.0-f;A7.0-f;A1.0-ff;A8.0-f;A2.0-ff;A5.0-ff;A9.0;A3.0-ff;A10.0;,47.39336,0.0211,false,Chromosome ExcutionStats Pname A ST 0.0 ET 47.39336 Duration 47.39336 Criticalpath Dur= 22.99808||,24.39528,
GPID-1,1,A5.0;A1.0;A6.0;A7.0;A8.0;A2.0;A5.0-f;A3.0;A6.0-f;A7.0-f;A4.0;A8.0-f;A5.0-ff;A1.0-f;A6.0-ff;A2.0-f;A7.0-ff;A3.0-f;A8.0-ff;A9.0;A4.0-f;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,50.06735,0.01997,false,Chromosome ExcutionStats Pname A ST 0.0 ET 50.06735 Duration 50.06735 Criticalpath Dur= 22.99808||,27.06927,
GPID-1,1,A1.0;A5.0;A6.0;A2.0;A7.0;A3.0;A8.0;A5.0-f;A4.0;A6.0-f;A1.0-f;A2.0-f;A7.0-f;A3.0-f;A4.0-f;A1.0-ff;A8.0-f;A5.0-ff;A2.0-ff;A6.0-ff;A9.0;A3.0-ff;A10.0;,51.57069,0.01939,false,Chromosome ExcutionStats Pname A ST 0.0 ET 51.57069 Duration 51.57069 Criticalpath Dur= 22.99808||,28.57261,
